IMAGEID	Plane	TheC	TheZ	TheC	XPos	YPos	ZPos	DeltaT
193.0	0.0	0.0	0.0	0.0	6750.9	42250.5	1272.2	416.253
194.0	0.0	0.0	0.0	0.0	11250.9	42250.5	1264.9	418.353
195.0	0.0	0.0	0.0	0.0	15750.9	42250.5	1253.2	419.751
196.0	0.0	0.0	0.0	0.0	20250.9	42250.5	1247.6	421.402
197.0	0.0	0.0	0.0	0.0	24750.9	42250.5	1238.8	423.202
198.0	0.0	0.0	0.0	0.0	29250.9	42250.5	1229.8	425.004
199.0	0.0	0.0	0.0	0.0	33750.9	42250.5	1222.0	427.155
200.0	0.0	0.0	0.0	0.0	38250.9	42250.5	1228.2	429.054
201.0	0.0	0.0	0.0	0.0	42750.9	42250.5	1224.0	430.953
202.0	0.0	0.0	0.0	0.0	47250.9	42250.5	1224.2	432.803
203.0	0.0	0.0	0.0	0.0	51750.9	42250.5	1225.7	434.702
204.0	0.0	0.0	0.0	0.0	56250.9	42250.5	1222.8	436.901
205.0	0.0	0.0	0.0	0.0	60750.9	42250.5	1229.1	439.052
206.0	0.0	0.0	0.0	0.0	65250.9	42250.5	1230.7	441.151
207.0	0.0	0.0	0.0	0.0	69750.9	42250.5	1234.2	443.353
208.0	0.0	0.0	0.0	0.0	74250.9	42250.5	1246.2	445.154
209.0	0.0	0.0	0.0	0.0	78750.9	42250.5	1253.2	446.552
210.0	0.0	0.0	0.0	0.0	83250.9	42250.5	1262.8	448.202
211.0	0.0	0.0	0.0	0.0	87750.9	42250.5	1278.4	450.351
212.0	0.0	0.0	0.0	0.0	92250.9	42250.5	1294.7	452.801
213.0	0.0	0.0	0.0	0.0	96750.9	42250.5	1310.2	455.302
214.0	0.0	0.0	0.0	0.0	101250.9	42250.5	1316.4	457.903
215.0	0.0	0.0	0.0	0.0	105750.9	42250.5	1331.8	460.751
216.0	0.0	0.0	0.0	0.0	2250.9	46750.5	1288.6	465.602
217.0	0.0	0.0	0.0	0.0	6750.9	46750.5	1279.7	467.802
218.0	0.0	0.0	0.0	0.0	11250.9	46750.5	1276.4	470.301
219.0	0.0	0.0	0.0	0.0	15750.9	46750.5	1267.0	472.351
220.0	0.0	0.0	0.0	0.0	20250.9	46750.5	1256.8	474.102
221.0	0.0	0.0	0.0	0.0	24750.9	46750.5	1248.7	475.855
222.0	0.0	0.0	0.0	0.0	29250.9	46750.5	1243.7	477.653
223.0	0.0	0.0	0.0	0.0	33750.9	46750.5	1240.6	479.451
224.0	0.0	0.0	0.0	0.0	38250.9	46750.5	1229.0	481.553
225.0	0.0	0.0	0.0	0.0	42750.9	46750.5	1238.0	483.402
226.0	0.0	0.0	0.0	0.0	47250.9	46750.5	1234.9	485.529
227.0	0.0	0.0	0.0	0.0	51750.9	46750.5	1236.0	487.653
228.0	0.0	0.0	0.0	0.0	56250.9	46750.5	1235.6	489.802
